"","Arrestee.Type","Arrest.Year","Arrest.Date","Arrest.Hour","CCN","Arrest.Number.","Age","Defendant.PSA","Defendant.District","Defendant.Race","Defendant.Ethnicity","Defendant.Sex","Arrest.Category","Charge.Description","Arrest.Location.PSA","Arrest.Location.District","Arrest.Block.GEOX","Arrest.Block.GEOY","Arrest.Latitude","Arrest.Longitude","Offense.Location.PSA","Offense.Location.District","Offense.Block.GEOX","Offense.Block.GEOY","Offense.Latitude","Offense.Longitude"
"1","Adult Arrest",2019,2019-01-16,8,"8116bdcb4892ce9d8df5bd6689e04b9ee0150a9d343da7228b3b9f218b0082e1","c8847e3cf71bf9562a0afcb4eda3272521bb101f7942cf4c6e2c61970e8722d8",25,607,"6D","BLACK","UNKNOWN","MALE","Sex Abuse","First Degree Sexual Abuse",102,"1D",398600,136300,38.894,-77.017,"607","6D",401500,133500,38.869,-76.983
"2","Adult Arrest",2019,2019-01-18,11,"a73dd3056af500dc938e88df0f7d9f6c89e92d18ced890177b65f110f941873c","d8e5290031caf6270ffada225b2294c33743bdfb355a2981aac449295af693f7",41,602,"6D","BLACK","UNKNOWN","MALE","Weapon Violations","Felon In Possession",602,"6D",404600,136600,38.897,-76.947,"602","6D",404600,136500,38.897,-76.947
"3","Adult Arrest",2019,2019-01-22,8,"43bee875965983c13be36862d255c931341296b3b664916328992328150d07f1","4682da983db6893b098b64952ace113d8618755c8c69d0be1edb2692b5b377a4",23,NA,"","BLACK","UNKNOWN","MALE","Simple Assault","Simple Assault",105,"1D",398900,134300,38.877,-77.013,"106","1D",400000,134300,38.877,-77
"4","Adult Arrest",2019,2019-01-23,8,"c792e9c3e4bfa88df9c5ed83595d5a90f5e86ee774f1f2f02b905db3459850aa","3a30459ef8696a18445443439f58a25b0a1bdd172027c26263b841c65d713739",21,507,"5D","BLACK","NOT HISPANIC","MALE","Assault with a Dangerous Weapon","Assault W/i To Kill",507,"5D",401500,136800,38.899,-76.983,"507","5D",401900,136800,38.899,-76.979
"5","Adult Arrest",2019,2019-01-24,7,"43bee875965983c13be36862d255c931341296b3b664916328992328150d07f1","df9f0a6545d025e7e42fb6e0f8f6a62e2f71bebbd0ed9bcf89bf26e1c86b9632",26,NA,"","BLACK","NOT HISPANIC","MALE","Simple Assault","Simple Assault",105,"1D",398900,134300,38.877,-77.013,"106","1D",400000,134300,38.877,-77
"6","Adult Arrest",2019,2019-01-24,7,"7088fb018f191efbca871490640ef027879e99bb8460b74a869e7dbcfb782ddf","b2ab8388651ea0c53b3704f321cae0a298091de92016679774556687d9b772e1",29,701,"7D","BLACK","NOT HISPANIC","FEMALE","Aggravated Assault","Assault With Significant Bodily Injury",701,"7D",401300,132600,38.862,-76.985,"706","7D",400900,129900,38.837,-76.99
"7","Adult Arrest",2019,2019-01-29,9,"8116bdcb4892ce9d8df5bd6689e04b9ee0150a9d343da7228b3b9f218b0082e1","63f6c343f87ae93d5b6a75d17eb7567cf2665e6509c257fa85c27be029953067",29,401,"4D","BLACK","NOT HISPANIC","MALE","Sex Abuse","First Degree Sexual Abuse",107,"1D",402000,135100,38.883,-76.976,"607","6D",401500,133500,38.869,-76.983
"8","Adult Arrest",2019,2019-01-30,5,"7088fb018f191efbca871490640ef027879e99bb8460b74a869e7dbcfb782ddf","cecbef1ae7e70de3788f65edc1e8dec370a0cf36965c8c4e516dacc94555e515",28,507,"5D","UNKNOWN","NOT HISPANIC","FEMALE","Simple Assault","Simple Assault",507,"5D",402100,136500,38.896,-76.976,"706","7D",400900,129900,38.837,-76.99
"9","Adult Arrest",2019,2019-02-03,12,"ad8462bc5ea08b8c8959b5bd71cba73b9a540aa20856f06fe890fb198275c8ec","d74b7326cc302ff0b81b255149a32ee29816c2b93dd8e4624f049a0763c332ba",29,106,"1D","BLACK","NOT HISPANIC","FEMALE","Burglary","Burglary One",503,"5D",402500,139100,38.92,-76.972,"707","7D",399800,129600,38.834,-77.003
"10","Adult Arrest",2019,2019-02-05,11,"c96a1d0db198d5d24051a639d329739801730cd74c316bde5614f59f53065df0","16b95b611a07c77ef22aa8174e814e2607afa59862dea2ec051eac45a643414a",22,704,"7D","BLACK","UNKNOWN","MALE","Robbery","Robbery",706,"7D",400600,129400,38.833,-76.994,"208","2D",397200,137900,38.909,-77.032
"11","Adult Arrest",2019,2019-02-06,12,"c96a1d0db198d5d24051a639d329739801730cd74c316bde5614f59f53065df0","5ab02bfee1097231a64466fc1642a4b6cf00f2e6c62c0df61fcc083d40d19e71",26,706,"7D","BLACK","UNKNOWN","FEMALE","Robbery","Robbery",706,"7D",400600,129400,38.833,-76.994,"208","2D",397200,137900,38.909,-77.032
"12","Adult Arrest",2019,2019-02-06,6,"38df34e509593b8f373580d9bfad40066a26afb5ca1f490378285677efa2193c","681efd477f5f389c63c3fbbf32997485411b49bc3e70b5bdc2c5893d82ddb043",23,704,"7D","BLACK","NOT HISPANIC","MALE","Robbery","Robbery",702,"7D",402600,131700,38.853,-76.97,"701","7D",401500,133100,38.866,-76.982
"13","Adult Arrest",2019,2019-02-06,8,"a6cadd0a59bca6a499475a3c7c179c3b2c5970139b8c79a4f2c25372674f2d22","4dc235eeb30436a8097bfe591e060ec616d2a93914af79ea0bbf60e56294fadb",22,603,"6D","BLACK","NOT HISPANIC","FEMALE","Robbery","Robbery",101,"1D",398200,136700,38.898,-77.021,"101","1D",398100,136900,38.9,-77.022
"14","Adult Arrest",2019,2019-02-08,10,"c792e9c3e4bfa88df9c5ed83595d5a90f5e86ee774f1f2f02b905db3459850aa","ea5ef16261209951541f4aa5a405d74dbd90e4b673c20783137e2d15d885f0a8",20,NA,"","BLACK","UNKNOWN","MALE","Homicide","Murder I",NA,"",NA,NA,NA,NA,"507","5D",401900,136800,38.899,-76.979
"15","Adult Arrest",2019,2019-02-10,4,"3ce10a4c6f5ab96d53c5049024ea841209ec61ed3a84a9f78aaacc5d30111337","047434a0ea927aa57da0cce5a2efa37433af1bd16692b3f600008aa1d0370fd6",32,NA,"","BLACK","NOT HISPANIC","MALE","Robbery","Robbery",603,"6D",404000,135800,38.89,-76.954,"603","6D",404000,135800,38.89,-76.954
"16","Adult Arrest",2019,2019-02-10,5,"38df34e509593b8f373580d9bfad40066a26afb5ca1f490378285677efa2193c","d088b32c182514806c7a1fac28cc4e08d4187ad354846ba359066e5b850a70de",23,601,"6D","BLACK","NOT HISPANIC","MALE","Robbery","Robbery",701,"7D",401500,133100,38.866,-76.982,"701","7D",401500,133100,38.866,-76.982
"17","Adult Arrest",2019,2019-02-11,1,"3ce10a4c6f5ab96d53c5049024ea841209ec61ed3a84a9f78aaacc5d30111337","1612b021eff245f7512167bd4dc76b794b5a367a9ffc969df34b104638e6c7cf",23,NA,"","UNKNOWN","UNKNOWN","UNKNOWN","Motor Vehicle Theft","Theft First Degree (Stolen Auto)",603,"6D",404200,135900,38.891,-76.952,"603","6D",404000,135800,38.89,-76.954
"18","Adult Arrest",2019,2019-02-13,10,"75f24719c56e8f7b0009d8771273660472268d7da196804dfc0ef90cfc6fd355","e116a9d74b4dba25ef0026faf42df2bf690ad5883642e680a5b67875d238df3a",56,NA,"","BLACK","NOT HISPANIC","MALE","Disorderly Conduct","Illegal Dumping",602,"6D",406000,136700,38.898,-76.931,"605","6D",403200,134400,38.877,-76.963
